index,date,points
290,2000-12-15,17
291,2000-12-17,40
292,2000-12-19,23
293,2000-12-21,45
294,2000-12-22,35
295,2000-12-25,29
296,2000-12-28,38
297,2000-12-30,17
298,2001-01-03,31
299,2001-01-07,27
300,2001-01-12,32
301,2001-01-13,27
302,2001-01-15,26
303,2001-01-19,29
304,2001-01-21,34
305,2001-01-23,21
306,2001-01-26,26
307,2001-01-28,33
308,2001-01-30,47
309,2001-01-31,24
310,2001-02-02,44
311,2001-02-04,26
312,2001-02-07,32
313,2001-02-13,38
314,2001-02-14,18
315,2001-02-16,25
316,2001-02-18,33
317,2001-02-20,19
318,2001-02-28,38
319,2001-03-03,20
320,2001-03-04,22
321,2001-03-06,29
322,2001-03-07,29
323,2001-03-09,38
324,2001-03-15,39
325,2001-03-16,26
326,2001-03-18,16
327,2001-03-19,27
328,2001-03-21,13
329,2001-04-01,0
330,2001-04-10,20
331,2001-04-12,30
332,2001-04-15,25
333,2001-04-17,26
334,2001-10-30,29
335,2001-11-01,39
336,2001-11-02,24
337,2001-11-04,38
338,2001-11-09,13
339,2001-11-11,28
340,2001-11-15,31
341,2001-11-16,18
342,2001-11-18,29
343,2001-11-20,25
344,2001-11-21,24
345,2001-11-23,28
346,2001-11-25,25
347,2001-11-27,33
348,2001-11-30,30
349,2001-12-01,18
350,2001-12-05,19
351,2001-12-07,23
352,2001-12-11,16
353,2001-12-14,25
354,2001-12-16,28
355,2001-12-20,27
356,2001-12-21,36
357,2001-12-25,12
358,2001-12-26,39
359,2001-12-28,26
360,2001-12-30,16
361,2002-01-02,28
362,2002-01-04,18
363,2002-01-06,31
364,2002-01-08,20
365,2002-01-09,31
366,2002-01-11,23
367,2002-01-12,26
368,2002-01-14,56
369,2002-01-16,29
370,2002-01-19,28
371,2002-01-22,15
372,2002-01-23,27
373,2002-01-25,27
374,2002-01-27,20
375,2002-01-29,32
376,2002-01-30,23
377,2002-02-01,13
378,2002-02-03,24
379,2002-02-06,38
380,2002-02-12,23
381,2002-02-14,23
382,2002-02-15,21
383,2002-02-17,28
384,2002-02-19,27
385,2002-02-21,32
386,2002-02-22,21
387,2002-02-24,27
388,2002-02-26,27
389,2002-02-27,20
390,2002-03-01,25
391,2002-03-06,26
392,2002-03-10,18
393,2002-03-12,23
394,2002-03-14,21
395,2002-03-15,33
396,2002-03-17,14
397,2002-03-19,12
398,2002-03-20,20
399,2002-03-22,18
400,2002-03-24,29
401,2002-03-26,17
402,2002-03-27,36
403,2002-03-29,34
404,2002-03-31,31
405,2002-04-02,14
406,2002-04-03,33
407,2002-04-05,26
408,2002-04-07,19
409,2002-04-09,22
410,2002-04-11,28
411,2002-04-14,23
412,2002-04-15,19
413,2002-04-17,21
414,2002-10-29,27
415,2002-10-30,25
416,2002-11-01,33
417,2002-11-03,33
418,2002-11-05,15
419,2002-11-07,41
420,2002-11-08,27
421,2002-11-12,21
422,2002-11-15,45
423,2002-11-17,46
424,2002-11-19,16
425,2002-11-20,24
426,2002-11-22,21
427,2002-11-24,15
428,2002-11-26,21
429,2002-11-27,38
430,2002-11-29,45
431,2002-12-01,22
432,2002-12-03,24
433,2002-12-04,17
434,2002-12-06,27
435,2002-12-08,25
436,2002-12-10,19
437,2002-12-13,16
438,2002-12-15,21
439,2002-12-17,15
440,2002-12-19,21
441,2002-12-20,44
442,2002-12-22,31
443,2002-12-25,27
444,2002-12-28,39
445,2002-12-29,13
446,2003-01-04,37
447,2003-01-05,31
448,2003-01-07,45
449,2003-01-10,21
450,2003-01-12,36
451,2003-01-15,36
452,2003-01-17,22
453,2003-01-20,26
454,2003-01-22,23
455,2003-01-24,11
456,2003-01-29,40
457,2003-01-31,38
458,2003-02-01,42
459,2003-02-04,35
460,2003-02-06,46
461,2003-02-11,42
462,2003-02-12,51
463,2003-02-14,44
464,2003-02-16,40
465,2003-02-18,52
466,2003-02-19,40
467,2003-02-21,40
468,2003-02-23,41
469,2003-02-25,32
470,2003-02-27,30
471,2003-02-28,34
472,2003-03-05,20
473,2003-03-07,30
474,2003-03-09,28
475,2003-03-11,36
476,2003-03-12,21
477,2003-03-14,30
