index,date,points
1247,2014-10-31,21
1248,2014-11-01,28
1249,2014-11-04,39
1250,2014-11-09,21
1251,2014-11-11,28
1252,2014-11-12,33
1253,2014-11-14,9
1254,2014-11-16,44
1255,2014-11-18,28
1256,2014-11-19,29
1257,2014-11-21,17
1258,2014-11-23,27
1259,2014-11-26,22
1260,2014-11-28,26
1261,2014-11-30,31
1262,2014-12-02,12
1263,2014-12-03,29
1264,2014-12-05,22
1265,2014-12-07,14
1266,2014-12-09,32
1267,2014-12-12,22
1268,2014-12-14,26
1269,2014-12-15,21
1270,2014-12-19,9
1271,2014-12-21,25
1272,2014-12-28,10
1273,2014-12-30,23
1274,2015-01-02,15
1275,2015-01-04,20
1276,2015-01-07,4
1277,2015-01-13,12
1278,2015-01-15,19
1279,2015-01-21,14
1280,2015-10-28,24
1281,2015-10-30,13
1282,2015-11-01,15
1283,2015-11-03,11
1284,2015-11-06,18
1285,2015-11-08,18
1286,2015-11-13,19
1287,2015-11-15,17
1288,2015-11-20,10
1289,2015-11-22,18
1290,2015-11-24,4
1291,2015-11-28,21
1292,2015-11-29,13
1293,2015-12-01,20
1294,2015-12-02,31
1295,2015-12-04,14
1296,2015-12-06,5
1297,2015-12-07,21
1298,2015-12-09,11
1299,2015-12-11,12
1300,2015-12-12,25
1301,2015-12-15,22
1302,2015-12-17,22
1303,2015-12-22,31
1304,2015-12-23,19
1305,2015-12-25,12
1306,2015-12-27,19
1307,2015-12-28,20
1308,2015-12-30,15
1309,2016-01-07,28
1310,2016-01-08,19
1311,2016-01-12,7
1312,2016-01-14,8
1313,2016-01-16,5
1314,2016-01-17,5
1315,2016-01-20,15
1316,2016-01-22,5
1317,2016-01-23,10
1318,2016-01-28,10
1319,2016-01-31,23
1320,2016-02-02,38
1321,2016-02-04,27
1322,2016-02-06,25
1323,2016-02-08,19
1324,2016-02-10,17
1325,2016-02-19,25
1326,2016-02-21,22
1327,2016-02-22,15
1328,2016-02-24,13
1329,2016-03-02,5
1330,2016-03-06,12
1331,2016-03-10,26
1332,2016-03-13,14
1333,2016-03-22,20
1334,2016-03-23,17
1335,2016-03-25,28
1336,2016-03-27,17
1337,2016-03-28,5
1338,2016-03-30,2
1339,2016-04-03,34
1340,2016-04-05,6
1341,2016-04-06,17
1342,2016-04-08,14
1343,2016-04-10,35
1344,2016-04-11,13
1345,2016-04-13,60
