index,date,points,fgp
227,2006-03-24,36,.500
228,2006-03-26,36,.412
229,2006-03-29,46,.696
230,2006-04-01,47,.640
231,2006-04-02,35,.542
232,2006-04-04,37,.591
233,2006-04-05,36,.500
234,2006-04-08,37,.462
235,2006-04-10,32,.500
236,2006-04-12,22,.444
237,2006-04-16,17,.500
238,2006-11-01,26,.458
239,2006-11-03,35,.538
240,2006-11-04,16,.231
241,2006-11-07,34,.500
242,2006-11-09,19,.462
243,2006-11-11,38,.529
244,2006-11-13,29,.526
245,2006-11-15,32,.667
246,2006-11-17,37,.500
247,2006-11-18,20,.400
248,2006-11-21,15,.333
249,2006-11-22,30,.458
250,2006-11-24,30,.429
251,2006-11-25,25,.500
252,2006-11-29,27,.455
253,2006-12-01,31,.522
254,2006-12-02,21,.318
255,2006-12-06,26,.611
256,2006-12-09,27,.688
257,2006-12-11,15,.389
258,2006-12-13,22,.353
259,2006-12-15,22,.643
260,2006-12-16,29,.526
261,2006-12-20,37,.455
262,2006-12-21,26,.450
263,2006-12-23,32,.619
264,2006-12-27,27,.400
265,2006-12-29,32,.524
266,2006-12-30,33,.577
267,2007-01-02,19,.412
268,2007-01-03,32,.550
269,2007-01-05,8,.231
270,2007-01-06,19,.429
271,2007-01-09,34,.538
272,2007-01-11,34,.536
273,2007-01-13,28,.435
274,2007-01-16,30,.381
275,2007-01-17,23,.381
276,2007-01-19,30,.391
277,2007-01-20,32,.636
278,2007-01-22,18,.400
279,2007-01-24,39,.538
280,2007-01-28,30,.545
281,2007-02-01,17,.333
282,2007-02-02,18,.538
283,2007-02-04,21,.409
284,2007-02-07,11,.308
285,2007-02-09,29,.545
286,2007-02-11,18,.313
287,2007-02-14,23,.360
288,2007-02-15,38,.625
289,2007-02-21,29,.480
290,2007-02-22,29,.464
291,2007-02-25,29,.455
292,2007-02-27,35,.636
293,2007-03-01,39,.630
294,2007-03-03,36,.500
295,2007-03-05,32,.500
296,2007-03-07,41,.548
297,2007-03-10,32,.545
298,2007-03-11,26,.455
299,2007-03-14,29,.647
300,2007-03-17,24,.381
301,2007-03-20,37,.387
302,2007-03-21,31,.429
303,2007-03-23,21,.500
304,2007-03-25,18,.421
305,2007-03-27,26,.444
306,2007-03-28,24,.300
307,2007-03-31,39,.560
308,2007-04-03,31,.542
309,2007-04-05,35,.524
310,2007-04-06,25,.304
311,2007-04-08,20,.313
312,2007-04-12,35,.556
313,2007-04-14,23,.500
314,2007-04-17,18,.467
315,2007-04-18,24,.500
316,2007-10-31,10,.182
317,2007-11-02,45,.464
318,2007-11-04,27,.423
319,2007-11-06,24,.563
320,2007-11-07,32,.444
321,2007-11-09,26,.526
322,2007-11-11,22,.429
323,2007-11-12,27,.563
324,2007-11-14,39,.556
325,2007-11-16,40,.481
326,2007-11-20,34,.500
327,2007-11-21,45,.654
328,2007-11-24,37,.483
329,2007-11-25,30,.476
330,2007-11-27,38,.440
331,2007-11-28,15,.455
332,2007-12-11,17,.556
333,2007-12-14,29,.480
334,2007-12-15,21,.556
335,2007-12-17,31,.400
336,2007-12-19,32,.571
337,2007-12-20,33,.414
338,2007-12-23,25,.400
339,2007-12-25,25,.474
340,2007-12-27,24,.429
341,2007-12-29,21,.381
342,2008-01-02,36,.591
343,2008-01-04,24,.389
344,2008-01-06,39,.483
345,2008-01-08,22,.444
346,2008-01-09,31,.591
347,2008-01-11,31,.500
348,2008-01-15,51,.643
349,2008-01-17,27,.375
350,2008-01-21,28,.423
351,2008-01-23,23,.538
352,2008-01-25,36,.467
353,2008-01-27,41,.500
354,2008-01-30,37,.448
355,2008-02-02,28,.421
356,2008-02-05,33,.524
357,2008-02-07,32,.522
358,2008-02-08,26,.458
359,2008-02-10,30,.478
360,2008-02-11,29,.533
361,2008-02-13,39,.548
362,2008-02-19,26,.389
