index,date,points,fgp
995,2016-11-13,19,.381
996,2016-11-15,28,.667
997,2016-11-18,21,.643
998,2016-11-23,31,.524
999,2016-11-25,19,.462
1000,2016-11-27,26,.474
1001,2016-11-29,22,.500
1002,2016-12-01,16,.357
1003,2016-12-02,27,.591
1004,2016-12-05,34,.462
1005,2016-12-07,25,.700
1006,2016-12-09,27,.545
1007,2016-12-10,44,.708
1008,2016-12-13,23,.529
1009,2016-12-17,26,.500
1010,2016-12-20,34,.480
1011,2016-12-21,29,.500
1012,2016-12-23,19,.438
1013,2016-12-25,31,.545
1014,2016-12-29,23,.500
1015,2016-12-31,32,.480
1016,2017-01-02,26,.429
1017,2017-01-04,31,.571
1018,2017-01-06,36,.700
1019,2017-01-08,28,.647
1020,2017-01-10,29,.500
1021,2017-01-11,20,.417
1022,2017-01-13,16,.500
1023,2017-01-16,20,.333
1024,2017-01-19,21,.667
1025,2017-01-21,29,.688
1026,2017-01-23,26,.524
1027,2017-01-25,24,.533
1028,2017-01-27,31,.722
1029,2017-01-29,25,.500
1030,2017-01-30,23,.474
1031,2017-02-01,27,.786
1032,2017-02-04,32,.600
1033,2017-02-06,32,.667
1034,2017-02-08,25,.563
1035,2017-02-09,18,.421
1036,2017-02-11,27,.688
1037,2017-02-14,25,.714
1038,2017-02-15,31,.706
1039,2017-02-23,18,.636
1040,2017-02-27,24,.667
1041,2017-03-01,28,.476
1042,2017-03-03,38,.519
1043,2017-03-06,30,.500
1044,2017-03-09,29,.545
1045,2017-03-11,24,.571
1046,2017-03-12,30,.600
1047,2017-03-14,16,.500
1048,2017-03-16,33,.650
1049,2017-03-19,34,.591
1050,2017-03-22,18,.667
1051,2017-03-24,32,.643
1052,2017-03-25,24,.476
1053,2017-03-27,17,.412
1054,2017-03-30,26,.550
1055,2017-03-31,34,.636
1056,2017-04-02,41,.552
1057,2017-04-04,18,.500
1058,2017-04-05,36,.636
1059,2017-04-07,27,.800
1060,2017-04-09,32,.524
1061,2017-10-17,29,.632
1062,2017-10-20,24,.625
1063,2017-10-21,22,.533
1064,2017-10-24,34,.650
1065,2017-10-25,29,.600
1066,2017-10-28,18,.545
1067,2017-10-29,16,.467
1068,2017-11-01,33,.636
1069,2017-11-03,57,.676
1070,2017-11-05,26,.588
1071,2017-11-07,30,.500
1072,2017-11-09,33,.625
1073,2017-11-11,19,.429
1074,2017-11-13,23,.500
1075,2017-11-15,31,.500
1076,2017-11-17,39,.654
1077,2017-11-20,18,.500
1078,2017-11-22,33,.647
1079,2017-11-24,27,.500
1080,2017-11-27,30,.522
1081,2017-11-28,21,.625
1082,2017-11-30,24,.727
1083,2017-12-02,34,.591
1084,2017-12-04,23,.600
1085,2017-12-06,32,.667
1086,2017-12-08,29,.545
1087,2017-12-09,30,.391
1088,2017-12-12,25,.846
1089,2017-12-14,25,.444
1090,2017-12-16,29,.600
1091,2017-12-17,20,.348
1092,2017-12-19,39,.636
1093,2017-12-21,34,.522
1094,2017-12-25,20,.389
1095,2017-12-27,16,.353
1096,2017-12-30,29,.545
1097,2018-01-02,24,.588
1098,2018-01-03,19,.533
1099,2018-01-06,33,.522
1100,2018-01-08,10,.500
1101,2018-01-11,26,.563
1102,2018-01-12,27,.440
1103,2018-01-15,32,.667
1104,2018-01-18,16,.438
1105,2018-01-20,18,.471
1106,2018-01-23,28,.435
1107,2018-01-26,26,.647
1108,2018-01-28,25,.533
1109,2018-01-30,21,.450
1110,2018-01-31,24,.381
1111,2018-02-03,11,.300
1112,2018-02-06,25,.588
1113,2018-02-07,37,.727
1114,2018-02-09,22,.400
1115,2018-02-11,24,.450
1116,2018-02-13,37,.609
1117,2018-02-22,32,.722
1118,2018-02-23,18,.438
1119,2018-02-25,33,.560
1120,2018-02-27,31,.520
1121,2018-03-01,30,.500
1122,2018-03-03,25,.421
1123,2018-03-05,31,.647
1124,2018-03-07,39,.600
1125,2018-03-09,25,.550
1126,2018-03-11,24,.450
1127,2018-03-13,28,.500
1128,2018-03-15,35,.600
1129,2018-03-17,33,.577
1130,2018-03-19,40,.552
1131,2018-03-21,35,.579
1132,2018-03-23,27,.688
1133,2018-03-25,37,.737
1134,2018-03-27,18,.389
1135,2018-03-28,41,.538
1136,2018-03-30,27,.500
1137,2018-04-01,16,.238
1138,2018-04-03,27,.571
1139,2018-04-05,33,.600
1140,2018-04-06,44,.586
1141,2018-04-09,26,.438
1142,2018-04-11,10,.444
1143,2018-10-18,26,.563
1144,2018-10-20,24,.409
1145,2018-10-22,32,.440
1146,2018-10-24,19,.438
1147,2018-10-25,28,.588
1148,2018-10-27,35,.619
1149,2018-10-29,29,.478
1150,2018-10-31,29,.579
1151,2018-11-03,28,.450
1152,2018-11-04,18,.500
1153,2018-11-07,24,.476
1154,2018-11-10,25,.556
1155,2018-11-11,26,.500
1156,2018-11-14,44,.684
1157,2018-11-17,22,.421
1158,2018-11-18,51,.613
1159,2018-11-21,32,.550
1160,2018-11-23,22,.471
1161,2018-11-25,24,.571
1162,2018-11-27,14,.333
1163,2018-11-29,38,.556
1164,2018-11-30,28,.571
1165,2018-12-02,22,.529
1166,2018-12-05,42,.625
1167,2018-12-07,35,.464
1168,2018-12-08,20,.500
1169,2018-12-10,28,.526
1170,2018-12-13,29,.667
1171,2018-12-15,24,.467
1172,2018-12-16,13,.313
1173,2018-12-18,36,.565
1174,2018-12-21,22,.400
1175,2018-12-23,22,.571
1176,2018-12-25,17,.545
1177,2019-01-31,24,.409
1178,2019-02-05,18,.583
1179,2019-02-07,28,.524
1180,2019-02-10,18,.500
1181,2019-02-12,28,.400
1182,2019-02-21,29,.478
1183,2019-02-23,27,.647
1184,2019-02-25,24,.348
1185,2019-02-27,33,.542
