index,dates,points
290,1988-12-30,31
291,1989-01-03,41
292,1989-01-05,32
293,1989-01-06,27
294,1989-01-10,48
295,1989-01-11,24
296,1989-01-13,38
297,1989-01-15,42
298,1989-01-17,22
299,1989-01-19,34
300,1989-01-21,53
301,1989-01-24,24
302,1989-01-25,33
303,1989-01-27,33
304,1989-01-31,21
305,1989-02-02,40
306,1989-02-03,29
307,1989-02-05,28
308,1989-02-07,32
309,1989-02-09,23
310,1989-02-14,32
311,1989-02-16,50
312,1989-02-19,23
313,1989-02-20,33
314,1989-02-22,24
315,1989-02-24,33
316,1989-02-25,18
317,1989-02-28,24
318,1989-03-03,28
319,1989-03-04,28
320,1989-03-07,34
321,1989-03-11,18
322,1989-03-13,21
323,1989-03-15,28
324,1989-03-17,33
325,1989-03-18,28
326,1989-03-21,21
327,1989-03-22,32
328,1989-03-24,34
329,1989-03-25,21
330,1989-03-28,33
331,1989-03-29,32
332,1989-03-31,37
333,1989-04-02,27
334,1989-04-04,33
335,1989-04-06,31
336,1989-04-07,40
337,1989-04-09,40
338,1989-04-13,47
339,1989-04-14,29
340,1989-04-16,22
341,1989-04-17,34
342,1989-04-20,30
343,1989-04-21,34
344,1989-04-23,25
345,1989-11-03,54
346,1989-11-04,24
347,1989-11-07,40
348,1989-11-08,45
349,1989-11-10,26
350,1989-11-11,25
351,1989-11-14,27
352,1989-11-15,40
353,1989-11-18,32
354,1989-11-21,16
355,1989-11-22,34
356,1989-11-25,29
357,1989-11-26,26
358,1989-11-28,22
359,1989-12-02,36
360,1989-12-05,35
361,1989-12-08,36
362,1989-12-09,29
363,1989-12-12,41
364,1989-12-14,38
365,1989-12-16,33
366,1989-12-19,37
367,1989-12-20,52
368,1989-12-22,29
369,1989-12-23,16
370,1989-12-26,28
371,1989-12-29,34
372,1989-12-30,28
373,1990-01-03,38
374,1990-01-05,43
375,1990-01-06,35
376,1990-01-09,16
377,1990-01-10,35
378,1990-01-12,45
379,1990-01-13,28
380,1990-01-15,26
381,1990-01-18,44
382,1990-01-19,36
383,1990-01-21,42
384,1990-01-23,32
385,1990-01-26,31
386,1990-01-27,39
387,1990-01-29,16
388,1990-02-01,35
389,1990-02-03,44
390,1990-02-07,32
391,1990-02-08,15
392,1990-02-13,26
393,1990-02-14,49
394,1990-02-16,26
395,1990-02-18,39
396,1990-02-19,30
397,1990-02-23,35
398,1990-02-25,32
399,1990-02-27,43
400,1990-03-02,23
401,1990-03-04,36
402,1990-03-06,35
403,1990-03-08,43
404,1990-03-10,45
405,1990-03-13,34
406,1990-03-16,20
407,1990-03-17,32
408,1990-03-20,21
409,1990-03-21,27
410,1990-03-23,41
411,1990-03-24,43
412,1990-03-26,28
413,1990-03-28,69
414,1990-03-30,49
415,1990-04-01,47
416,1990-04-03,29
417,1990-04-05,38
418,1990-04-07,43
419,1990-04-11,22
420,1990-04-13,26
421,1990-04-14,21
422,1990-04-16,23
423,1990-04-17,35
424,1990-04-19,32
425,1990-04-20,45
426,1990-04-22,22
427,1990-11-02,34
428,1990-11-03,28
429,1990-11-06,33
430,1990-11-07,17
431,1990-11-09,41
432,1990-11-10,23
433,1990-11-13,29
434,1990-11-15,14
435,1990-11-17,33
436,1990-11-18,29
437,1990-11-21,34
438,1990-11-23,14
439,1990-11-24,38
440,1990-11-28,24
441,1990-11-30,37
442,1990-12-01,32
443,1990-12-04,27
444,1990-12-07,33
445,1990-12-08,35
446,1990-12-11,31
447,1990-12-14,20
448,1990-12-15,24
449,1990-12-18,39
450,1990-12-19,33
451,1990-12-21,33
452,1990-12-22,29
453,1990-12-25,37
454,1990-12-27,42
455,1990-12-29,31
