index,date,points,fgp,result
696,2018-11-13,22,.438,L (-18)
697,2018-11-15,27,.348,L (-7)
698,2018-11-17,34,.588,W (+12)
699,2018-11-21,43,.500,W (+10)
700,2018-11-23,33,.333,W (+21)
701,2018-11-24,40,.467,W (+20)
702,2018-11-26,54,.531,W (+2)
703,2018-11-28,25,.467,L (-5)
704,2018-11-30,23,.450,L (-9)
705,2018-12-01,30,.563,L (-4)
706,2018-12-03,29,.471,L (-20)
707,2018-12-06,15,.313,W (+31)
708,2018-12-08,35,.500,W (+16)
709,2018-12-11,29,.476,L (-12)
710,2018-12-13,50,.538,L (-27)
711,2018-12-15,32,.643,L (-3)
712,2018-12-17,47,.452,W (+7)
713,2018-12-19,35,.556,W (+15)
714,2018-12-20,35,.304,W (+8)
715,2018-12-22,39,.353,W (+5)
716,2018-12-25,41,.429,W (+18)
717,2018-12-27,45,.423,L (-2)
718,2018-12-29,41,.400,W (+7)
719,2018-12-31,43,.421,W (+4)
720,2019-01-03,44,.406,W (+14)
721,2019-01-05,38,.371,W (+4)
722,2019-01-07,32,.389,W (+12)
723,2019-01-09,42,.433,W (+1)
724,2019-01-11,43,.500,L (-9)
725,2019-01-13,38,.344,W (+12)
726,2019-01-14,57,.515,L (-7)
727,2019-01-16,58,.471,W (+28)
728,2019-01-19,48,.467,L (-7)
729,2019-01-21,37,.462,W (+18)
730,2019-01-23,61,.447,L (-3)
731,2019-01-25,35,.360,W (+4)
732,2019-01-27,40,.519,L (-28)
733,2019-01-29,37,.344,W (+4)
734,2019-02-01,30,.429,W (+2)
735,2019-02-02,43,.545,W (+5)
736,2019-02-04,44,.577,L (-5)
737,2019-02-06,36,.500,L (-14)
738,2019-02-09,42,.393,W (+27)
739,2019-02-11,31,.391,W (+8)
740,2019-02-13,42,.441,W (+26)
741,2019-02-21,30,.458,L (-5)
742,2019-02-25,28,.333,W (+16)
743,2019-02-27,30,.345,L (-10)
744,2019-02-28,58,.500,L (-5)
