index,date,points,fgp,result
142,2011-03-16,12,.333,W (+11)
143,2011-03-18,21,.615,W (+17)
144,2011-03-20,23,.556,L (-2)
145,2011-03-23,11,.333,W (+12)
146,2011-03-25,13,.364,W (+8)
147,2011-03-27,8,.250,W (+9)
148,2011-03-29,14,.500,W (+1)
149,2011-03-30,22,.778,W (+18)
150,2011-04-01,21,.400,L (-7)
151,2011-04-02,14,.273,L (-6)
152,2011-04-05,13,.333,W (+7)
153,2011-04-06,7,.333,W (+4)
154,2011-04-08,14,.625,W (+15)
155,2011-04-10,16,.333,W (+14)
156,2011-04-11,12,.429,W (+8)
157,2011-04-13,12,.417,L (-4)
158,2011-12-25,19,.364,W (+8)
159,2011-12-26,16,.556,W (+4)
160,2011-12-28,20,.455,W (+3)
161,2011-12-29,15,.500,W (+2)
162,2011-12-31,10,.167,W (+10)
163,2012-01-02,16,.455,L (-13)
164,2012-01-03,23,.538,L (-10)
165,2012-01-06,23,.727,W (+15)
166,2012-01-07,16,.333,W (+3)
167,2012-01-08,20,.545,W (+12)
168,2012-01-10,10,.250,W (+5)
169,2012-01-11,14,.300,W (+10)
170,2012-01-14,24,.667,W (+12)
171,2012-01-16,5,.250,W (+9)
172,2012-01-18,13,.375,L (-3)
173,2012-01-21,16,.556,W (+10)
174,2012-01-23,24,.727,W (+20)
175,2012-01-25,18,.800,W (+10)
176,2012-01-27,19,.500,W (+11)
177,2012-01-30,7,.200,L (-12)
178,2012-02-01,10,.273,W (+9)
179,2012-02-03,24,.615,W (+7)
180,2012-02-04,19,.500,L (-11)
181,2012-02-06,19,.500,W (+4)
182,2012-02-07,19,.462,W (+3)
183,2012-02-09,17,.455,L (-5)
184,2012-02-10,11,.250,W (+14)
185,2012-02-14,22,.667,W (+26)
186,2012-02-15,17,.462,L (-1)
187,2012-02-17,25,.615,W (+23)
188,2012-02-19,10,.167,W (+6)
189,2012-02-22,17,.600,W (+15)
190,2012-02-23,16,.600,W (+15)
191,2012-02-29,16,.444,W (+4)
192,2012-03-01,13,.625,W (+3)
193,2012-03-03,10,.500,L (-7)
194,2012-03-05,16,.364,W (+4)
195,2012-03-07,30,.667,W (+11)
196,2012-03-09,15,.500,L (-6)
197,2012-03-10,33,.688,W (+27)
198,2012-03-13,16,.417,L (-1)
199,2012-03-15,18,.545,W (+13)
200,2012-03-16,19,.727,L (-9)
201,2012-03-18,14,.143,W (+16)
202,2012-03-20,17,.455,L (-7)
203,2012-03-21,10,.375,W (+23)
204,2012-03-23,25,.588,W (+9)
205,2012-03-25,19,.857,W (+16)
206,2012-03-27,21,.857,W (+14)
207,2012-03-29,9,.273,W (+9)
208,2012-04-01,11,.429,W (+14)
209,2012-04-02,14,.556,L (-6)
210,2012-04-04,12,.455,L (-5)
211,2012-04-06,10,.200,L (-5)
212,2012-04-08,17,.500,W (+16)
213,2012-04-09,16,.571,W (+20)
214,2012-04-11,17,.500,L (-2)
215,2012-04-14,6,.091,W (+5)
216,2012-04-16,12,.400,L (-15)
