index,dates,points
290,2013-04-03,21
291,2013-04-05,33
292,2013-04-06,14
293,2013-04-09,33
294,2013-04-12,30
295,2013-04-14,29
296,2013-04-15,16
297,2013-04-17,30
298,2013-10-30,21
299,2013-11-01,34
300,2013-11-02,23
301,2013-11-04,15
302,2013-11-05,33
303,2013-11-07,35
304,2013-11-09,12
305,2013-11-11,26
306,2013-11-14,36
307,2013-11-16,17
308,2013-11-19,15
309,2013-11-20,23
310,2013-11-29,9
311,2013-11-30,31
312,2013-12-02,37
313,2013-12-04,14
314,2013-12-06,34
315,2013-12-08,27
316,2013-12-12,25
317,2013-12-13,26
318,2013-12-15,25
319,2013-12-18,19
320,2013-12-20,12
321,2013-12-25,28
322,2013-12-26,27
323,2013-12-28,21
324,2013-12-29,8
325,2013-12-31,38
326,2014-01-03,37
327,2014-01-08,38
328,2014-01-10,25
329,2014-01-11,25
330,2014-01-13,16
331,2014-01-15,26
332,2014-01-16,16
333,2014-01-18,22
334,2014-01-20,22
335,2014-01-22,24
336,2014-01-24,10
337,2014-01-25,16
338,2014-02-01,28
339,2014-02-05,23
340,2014-02-08,22
341,2014-02-10,19
342,2014-02-12,35
343,2014-02-19,29
344,2014-02-20,39
345,2014-02-23,23
346,2014-02-25,43
347,2014-02-26,18
348,2014-03-01,20
349,2014-03-04,21
350,2014-03-05,31
351,2014-03-07,28
352,2014-03-09,41
353,2014-03-11,28
354,2014-03-13,8
355,2014-03-16,30
356,2014-03-17,15
357,2014-03-20,28
358,2014-03-22,37
359,2014-03-24,31
360,2014-03-27,26
361,2014-03-29,32
362,2014-04-01,26
363,2014-04-02,26
364,2014-04-04,39
365,2014-04-06,32
366,2014-04-08,33
367,2014-04-09,10
368,2014-04-11,33
369,2014-04-12,33
370,2014-04-14,16
371,2014-10-28,32
372,2014-10-29,18
373,2014-11-01,26
374,2014-11-03,35
375,2014-11-04,25
376,2014-11-06,20
377,2014-11-08,22
378,2014-11-12,23
379,2014-11-14,35
380,2014-11-16,19
381,2014-11-17,6
382,2014-11-19,24
383,2014-11-22,32
384,2014-11-24,36
385,2014-11-26,26
386,2014-11-28,16
387,2014-11-29,34
388,2014-12-03,21
389,2014-12-05,38
390,2014-12-06,15
391,2014-12-10,34
392,2014-12-11,44
393,2014-12-13,24
394,2014-12-17,41
395,2014-12-18,21
396,2014-12-20,18
397,2014-12-22,44
398,2014-12-26,32
399,2014-12-28,28
400,2014-12-29,33
401,2014-12-31,36
402,2015-01-02,11
403,2015-01-03,28
404,2015-01-05,20
405,2015-01-07,21
406,2015-01-08,25
407,2015-01-10,30
408,2015-01-12,30
409,2015-01-14,26
410,2015-01-15,31
411,2015-01-17,12
412,2015-01-19,45
413,2015-01-21,33
414,2015-01-23,33
415,2015-01-25,37
416,2015-01-28,17
417,2015-01-30,14
418,2015-01-31,26
419,2015-02-04,27
420,2015-02-06,33
421,2015-02-08,45
422,2015-02-10,40
423,2015-02-11,9
424,2015-02-20,26
425,2015-02-21,20
426,2015-02-23,31
427,2015-02-25,21
428,2015-02-27,15
429,2015-03-01,33
430,2015-03-04,18
431,2015-03-06,38
432,2015-03-07,28
433,2015-03-11,18
434,2015-03-12,15
435,2015-03-15,34
436,2015-03-17,17
437,2015-03-19,50
438,2015-03-21,16
439,2015-03-23,44
440,2015-03-25,25
441,2015-03-27,33
442,2015-03-29,24
443,2015-03-30,31
444,2015-04-01,51
445,2015-04-02,24
446,2015-04-05,41
447,2015-04-08,22
448,2015-04-10,16
449,2015-04-12,30
450,2015-04-13,29
451,2015-04-15,16
452,2015-10-28,22
453,2015-10-30,16
454,2015-11-01,16
455,2015-11-02,37
456,2015-11-04,28
457,2015-11-06,43
458,2015-11-07,46
459,2015-11-11,23
460,2015-11-13,28
461,2015-11-14,25
462,2015-11-16,16
463,2015-11-18,45
464,2015-11-20,22
465,2015-11-21,24
466,2015-11-25,40
467,2015-11-27,50
468,2015-11-29,26
469,2015-11-30,29
470,2015-12-02,24
471,2015-12-04,25
472,2015-12-05,31
473,2015-12-08,10
474,2015-12-09,42
475,2015-12-12,30
476,2015-12-14,24
477,2015-12-15,33
478,2015-12-17,25
479,2015-12-19,18
480,2015-12-21,36
481,2015-12-23,31
482,2015-12-25,20
483,2015-12-26,25
484,2015-12-29,26
485,2015-12-31,30
486,2016-01-02,17
487,2016-01-04,30
488,2016-01-07,33
489,2016-01-10,21
490,2016-01-12,25
491,2016-01-13,27
492,2016-01-15,11
493,2016-01-17,31
494,2016-01-18,20
495,2016-01-20,33
496,2016-01-22,30
497,2016-01-24,23
498,2016-01-25,35
499,2016-01-27,20
500,2016-01-29,33
501,2016-01-30,40
502,2016-02-02,26
503,2016-02-04,17
504,2016-02-06,33
505,2016-02-09,37
506,2016-02-10,34
507,2016-02-19,27
508,2016-02-23,42
509,2016-02-25,46
510,2016-02-27,27
511,2016-02-29,26
512,2016-03-02,39
513,2016-03-05,36
514,2016-03-06,40
515,2016-03-09,29
516,2016-03-11,32
517,2016-03-12,12
518,2016-03-14,15
519,2016-03-16,33
520,2016-03-18,29
521,2016-03-19,25
522,2016-03-22,24
523,2016-03-23,26
524,2016-03-25,32
525,2016-03-27,34
526,2016-03-29,27
527,2016-03-31,24
528,2016-04-03,41
529,2016-04-06,26
530,2016-04-07,30
531,2016-04-10,40
532,2016-04-11,34
533,2016-04-13,38
534,2016-10-26,34
535,2016-10-28,26
536,2016-10-30,28
537,2016-11-01,41
538,2016-11-02,30
539,2016-11-05,30
540,2016-11-07,32
541,2016-11-09,24
542,2016-11-12,25
543,2016-11-14,33
544,2016-11-16,13
545,2016-11-17,26
546,2016-11-19,31
547,2016-11-21,28
548,2016-11-23,29
549,2016-11-25,23
550,2016-11-27,38
551,2016-11-29,26
552,2016-12-01,29
553,2016-12-02,20
554,2016-12-05,37
555,2016-12-07,25
556,2016-12-09,21
557,2016-12-10,18
558,2016-12-12,36
559,2016-12-14,15
560,2016-12-16,29
561,2016-12-17,28
562,2016-12-20,31
563,2016-12-21,27
564,2016-12-23,16
565,2016-12-26,32
566,2016-12-27,34
567,2016-12-30,30
568,2016-12-31,53
569,2017-01-02,23
570,2017-01-05,26
571,2017-01-06,14
572,2017-01-08,40
573,2017-01-10,40
574,2017-01-11,33
575,2017-01-13,27
576,2017-01-15,22
577,2017-01-17,40
578,2017-01-18,38
579,2017-01-20,17
580,2017-01-21,29
581,2017-01-23,26
582,2017-01-25,30
583,2017-01-27,51
584,2017-01-29,15
585,2017-01-31,10
586,2017-02-02,41
587,2017-02-03,42
588,2017-02-07,25
589,2017-02-09,30
590,2017-02-11,40
591,2017-02-15,38
592,2017-02-23,13
593,2017-02-25,24
594,2017-02-27,25
595,2017-03-01,26
596,2017-03-04,33
597,2017-03-06,39
598,2017-03-08,35
599,2017-03-10,19
600,2017-03-12,38
601,2017-03-15,18
602,2017-03-17,41
603,2017-03-18,40
604,2017-03-20,39
605,2017-03-24,38
606,2017-03-26,22
607,2017-03-28,24
608,2017-03-30,30
609,2017-03-31,17
610,2017-04-05,31
611,2017-04-07,33
612,2017-04-09,35
613,2017-04-10,14
614,2017-04-12,27
615,2017-10-17,27
616,2017-10-18,27
617,2017-10-21,29
618,2017-10-23,22
619,2017-10-25,27
620,2017-10-27,27
621,2017-10-28,20
622,2017-10-30,29
623,2017-11-01,31
624,2017-11-03,29
625,2017-11-05,56
626,2017-11-09,35
627,2017-11-11,38
628,2017-11-12,26
629,2017-11-14,38
630,2017-11-16,48
631,2017-11-18,29
632,2017-11-22,21
633,2017-11-25,37
634,2017-11-27,37
635,2017-11-29,29
636,2017-12-03,36
637,2017-12-07,29
638,2017-12-09,48
639,2017-12-11,26
640,2017-12-13,21
641,2017-12-15,28
642,2017-12-16,31
643,2017-12-18,26
644,2017-12-20,51
645,2017-12-22,51
646,2017-12-25,29
647,2017-12-28,34
648,2017-12-29,20
649,2017-12-31,40
650,2018-01-18,10
651,2018-01-20,22
652,2018-01-22,28
653,2018-01-24,25
654,2018-01-26,23
655,2018-01-28,27
656,2018-01-30,60
657,2018-02-01,28
658,2018-02-03,16
659,2018-02-06,36
660,2018-02-07,41
661,2018-02-09,28
662,2018-02-11,27
663,2018-02-13,34
664,2018-02-14,28
665,2018-02-23,31
666,2018-02-25,41
667,2018-02-26,26
668,2018-02-28,25
669,2018-03-03,26
670,2018-03-06,23
671,2018-03-07,26
672,2018-03-09,40
673,2018-03-12,28
674,2018-03-15,24
675,2018-03-17,32
676,2018-03-18,34
677,2018-03-20,42
678,2018-03-22,21
679,2018-03-24,27
680,2018-03-25,18
681,2018-03-30,28
682,2018-04-01,25
