index,date,points
290,1963-02-10,29
291,1963-02-12,46
292,1963-02-13,51
293,1963-02-16,56
294,1963-02-19,39
295,1963-02-21,40
296,1963-02-22,37
297,1963-02-23,34
298,1963-02-24,13
299,1963-02-26,34
300,1963-03-01,54
301,1963-03-02,49
302,1963-03-03,45
303,1963-03-05,25
304,1963-03-06,51
305,1963-03-08,51
306,1963-03-10,70
307,1963-03-12,42
308,1963-03-14,39
309,1963-03-15,38
310,1963-03-16,40
311,1963-10-19,23
312,1963-10-22,36
313,1963-10-23,22
314,1963-10-26,21
315,1963-10-29,32
316,1963-11-02,55
317,1963-11-07,23
318,1963-11-08,33
319,1963-11-09,30
320,1963-11-12,31
321,1963-11-13,49
322,1963-11-14,34
323,1963-11-15,23
324,1963-11-17,37
325,1963-11-19,40
326,1963-11-26,23
327,1963-11-27,38
328,1963-11-29,38
329,1963-11-30,23
330,1963-12-03,21
331,1963-12-04,21
332,1963-12-06,59
333,1963-12-08,31
334,1963-12-10,49
335,1963-12-13,43
336,1963-12-15,44
337,1963-12-17,34
338,1963-12-18,27
339,1963-12-20,41
340,1963-12-22,40
341,1963-12-26,49
342,1963-12-28,26
343,1963-12-30,47
344,1963-12-31,42
345,1964-01-02,42
346,1964-01-03,24
347,1964-01-07,35
348,1964-01-09,43
349,1964-01-10,50
350,1964-01-12,47
351,1964-01-15,32
352,1964-01-17,36
353,1964-01-18,28
354,1964-01-19,31
355,1964-01-21,24
356,1964-01-23,28
357,1964-01-24,41
358,1964-01-25,40
359,1964-01-26,49
360,1964-01-28,59
361,1964-01-29,28
362,1964-01-30,42
363,1964-02-01,40
364,1964-02-02,32
365,1964-02-04,38
366,1964-02-06,40
367,1964-02-08,30
368,1964-02-09,32
369,1964-02-11,59
370,1964-02-13,30
371,1964-02-15,32
372,1964-02-17,52
373,1964-02-18,52
374,1964-02-19,32
375,1964-02-21,40
376,1964-02-23,37
377,1964-02-25,52
378,1964-02-27,40
379,1964-02-28,30
380,1964-02-29,37
381,1964-03-01,38
382,1964-03-02,27
383,1964-03-05,44
384,1964-03-07,47
385,1964-03-10,32
386,1964-03-12,35
387,1964-03-13,35
388,1964-03-14,55
389,1964-03-16,30
390,1964-03-18,36
391,1964-10-31,16
392,1964-11-04,37
393,1964-11-06,52
394,1964-11-07,21
395,1964-11-08,41
396,1964-11-10,36
397,1964-11-11,24
398,1964-11-12,53
399,1964-11-14,23
400,1964-11-15,62
401,1964-11-17,45
402,1964-11-21,46
403,1964-11-22,50
404,1964-11-24,36
405,1964-11-25,37
406,1964-11-26,63
407,1964-11-28,40
408,1964-12-01,56
409,1964-12-02,33
410,1964-12-04,24
411,1964-12-05,8
412,1964-12-11,40
413,1964-12-12,33
414,1964-12-14,40
415,1964-12-15,58
416,1964-12-16,31
417,1964-12-18,41
418,1964-12-20,45
419,1964-12-22,46
420,1964-12-26,41
421,1964-12-28,42
422,1964-12-29,35
423,1964-12-30,41
424,1965-01-01,29
425,1965-01-02,43
426,1965-01-03,53
427,1965-01-06,29
428,1965-01-08,30
429,1965-01-21,22
430,1965-01-22,21
431,1965-01-23,16
432,1965-01-26,17
433,1965-01-27,28
434,1965-01-29,27
435,1965-01-31,36
436,1965-02-02,24
437,1965-02-03,29
438,1965-02-04,35
439,1965-02-06,31
440,1965-02-08,16
441,1965-02-09,33
442,1965-02-10,31
443,1965-02-11,24
444,1965-02-13,37
445,1965-02-18,40
446,1965-02-20,37
447,1965-02-21,40
448,1965-02-22,35
449,1965-02-23,30
450,1965-02-24,32
451,1965-02-28,34
452,1965-03-02,16
453,1965-03-03,31
454,1965-03-05,48
455,1965-03-06,27
456,1965-03-07,27
457,1965-03-09,37
458,1965-03-10,27
459,1965-03-13,31
460,1965-03-14,51
461,1965-03-16,34
462,1965-03-20,32
463,1965-03-21,18
464,1965-10-16,33
465,1965-10-23,53
466,1965-10-30,39
467,1965-11-03,32
468,1965-11-04,15
469,1965-11-05,22
470,1965-11-06,30
471,1965-11-09,39
472,1965-11-11,26
473,1965-11-12,27
474,1965-11-13,34
475,1965-11-16,30
476,1965-11-17,46
477,1965-11-19,36
478,1965-11-20,21
479,1965-11-21,32
480,1965-11-24,42
481,1965-11-26,25
482,1965-11-27,38
483,1965-11-30,41
484,1965-12-03,28
485,1965-12-06,29
486,1965-12-08,46
487,1965-12-10,40
488,1965-12-11,38
489,1965-12-14,32
490,1965-12-15,31
491,1965-12-17,38
492,1965-12-18,23
493,1965-12-20,45
494,1965-12-26,33
495,1965-12-28,31
496,1965-12-29,34
497,1965-12-30,23
498,1966-01-02,50
499,1966-01-04,27
500,1966-01-06,41
501,1966-01-07,49
502,1966-01-08,29
503,1966-01-09,41
504,1966-01-12,41
505,1966-01-14,37
506,1966-01-18,44
507,1966-01-19,33
508,1966-01-21,27
509,1966-01-23,36
510,1966-01-24,22
511,1966-01-25,53
512,1966-01-28,43
513,1966-01-30,38
514,1966-02-02,21
515,1966-02-05,34
516,1966-02-06,14
517,1966-02-07,65
518,1966-02-08,38
519,1966-02-09,30
520,1966-02-11,32
521,1966-02-12,29
522,1966-02-14,41
523,1966-02-15,34
524,1966-02-17,30
525,1966-02-19,30
526,1966-02-21,24
527,1966-02-22,32
528,1966-02-23,20
529,1966-02-25,35
530,1966-02-26,16
531,1966-03-01,22
532,1966-03-03,62
533,1966-03-04,36
534,1966-03-05,27
535,1966-03-06,32
536,1966-03-08,23
537,1966-03-09,31
538,1966-03-12,23
539,1966-03-13,25
540,1966-03-17,37
541,1966-03-19,39
542,1966-03-20,24
543,1966-10-15,28
544,1966-10-21,23
545,1966-10-22,20
546,1966-10-25,20
547,1966-10-29,13
548,1966-11-03,14
549,1966-11-04,30
550,1966-11-05,26
551,1966-11-08,18
552,1966-11-11,37
553,1966-11-12,26
554,1966-11-13,24
555,1966-11-15,24
556,1966-11-16,28
557,1966-11-18,24
558,1966-11-19,20
559,1966-11-23,28
560,1966-11-24,27
561,1966-11-25,41
562,1966-11-26,26
563,1966-11-29,25
564,1966-11-30,23
565,1966-12-02,28
566,1966-12-03,32
567,1966-12-06,31
568,1966-12-07,21
569,1966-12-09,20
570,1966-12-10,22
571,1966-12-11,15
572,1966-12-13,22
573,1966-12-16,22
574,1966-12-17,28
575,1966-12-21,19
576,1966-12-22,14
577,1966-12-23,24
578,1966-12-26,38
579,1966-12-28,24
580,1966-12-30,23
581,1967-01-03,35
582,1967-01-04,21
583,1967-01-05,13
584,1967-01-06,17
585,1967-01-08,25
586,1967-01-13,20
587,1967-01-15,19
588,1967-01-17,19
589,1967-01-18,16
590,1967-01-19,27
591,1967-01-20,32
592,1967-01-23,22
593,1967-01-24,18
594,1967-01-27,17
595,1967-01-29,29
596,1967-02-01,39
597,1967-02-02,16
598,1967-02-04,23
599,1967-02-05,16
600,1967-02-07,15
601,1967-02-08,27
602,1967-02-10,37
603,1967-02-11,43
604,1967-02-12,28
605,1967-02-13,58
606,1967-02-15,18
607,1967-02-17,15
608,1967-02-19,22
609,1967-02-24,42
610,1967-02-28,28
611,1967-03-01,20
612,1967-03-02,24
613,1967-03-03,19
614,1967-03-05,10
615,1967-03-06,22
616,1967-03-08,17
617,1967-03-11,21
618,1967-03-12,15
619,1967-03-14,21
620,1967-03-15,21
621,1967-03-16,16
622,1967-03-18,26
623,1967-03-19,37
624,1967-10-18,11
625,1967-10-21,17
626,1967-10-24,11
627,1967-10-25,19
628,1967-10-27,15
629,1967-10-28,16
630,1967-11-01,19
631,1967-11-04,1
632,1967-11-07,19
633,1967-11-08,21
634,1967-11-10,20
635,1967-11-11,16
636,1967-11-14,27
637,1967-11-15,12
638,1967-11-17,11
639,1967-11-18,8
640,1967-11-22,12
641,1967-11-23,31
642,1967-11-24,34
643,1967-11-25,24
644,1967-11-28,10
645,1967-11-29,12
646,1967-12-01,52
647,1967-12-02,27
648,1967-12-05,31
649,1967-12-06,29
